date,to_station_name,trip_count
2019-12-17,Clinton St & Madison St,126
2019-12-17,Clinton St & Washington Blvd,159
2019-12-17,Canal St & Adams St,169
2019-12-18,Clinton St & Madison St,91
2019-12-18,Clinton St & Washington Blvd,125
2019-12-18,Canal St & Adams St,131
2019-12-19,Clinton St & Washington Blvd,108
2019-12-19,Clinton St & Madison St,124
2019-12-19,Canal St & Adams St,148
2019-12-20,Clinton St & Washington Blvd,88
2019-12-20,Clinton St & Madison St,106
2019-12-20,Canal St & Adams St,126
2019-12-21,Michigan Ave & Oak St,45
2019-12-21,Kingsbury St & Kinzie St,48
2019-12-21,Streeter Dr & Grand Ave,50
2019-12-22,Streeter Dr & Grand Ave,70
2019-12-22,Millennium Park,72
2019-12-22,Shedd Aquarium,85
2019-12-23,Clinton St & Madison St,85
2019-12-23,Clinton St & Washington Blvd,97
2019-12-23,Canal St & Adams St,99
2019-12-24,Clinton St & Washington Blvd,39
2019-12-24,Streeter Dr & Grand Ave,42
2019-12-24,Daley Center Plaza,49
2019-12-25,Lake Shore Dr & Monroe St,59
2019-12-25,Millennium Park,87
2019-12-25,Streeter Dr & Grand Ave,139
2019-12-26,Michigan Ave & Oak St,92
2019-12-26,Lake Shore Dr & Monroe St,99
2019-12-26,Streeter Dr & Grand Ave,161
2019-12-27,Clinton St & Washington Blvd,59
2019-12-27,Canal St & Adams St,64
2019-12-27,Streeter Dr & Grand Ave,68
2019-12-28,Kingsbury St & Kinzie St,39
2019-12-28,Lake Shore Dr & Monroe St,43
2019-12-28,Streeter Dr & Grand Ave,48
2019-12-29,Millennium Park,64
2019-12-29,Lake Shore Dr & Monroe St,93
2019-12-29,Streeter Dr & Grand Ave,129
2019-12-30,Kingsbury St & Kinzie St,42
2019-12-30,Clinton St & Washington Blvd,68
2019-12-30,Canal St & Adams St,71
2019-12-31,Canal St & Adams St,35
2019-12-31,Clinton St & Washington Blvd,39
2019-12-31,Kingsbury St & Kinzie St,40
